Position,Track Name,Artist,Streams,URL,Date,Region,Spotify ID
1,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,25971,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l,43109,ec,['33bnxcjePIkcmNjEFTJX0l']
2,Corazón,Maluma,25302,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,43109,ec,['4lESS6vuruP6a79KWRaQou']
3,Échame La Culpa,Luis Fonsi,24584,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,43109,ec,['1zsG4eaZmkA1dvjDDsAGLK']
4,Downtown,Anitta,19735,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D,43109,ec,['3Ga6eKrUFf12ouh9Yw3v2D']
5,Bella,Wolfine,19634,https://open.spotify.com/track/4R55IUi2x7S5ek2SpebOiE,43109,ec,['4R55IUi2x7S5ek2SpebOiE']
6,Sensualidad,Bad Bunny,18913,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,43109,ec,['5hcisvFMidkMJlElTO9Qmw']
7,Criminal,Natti Natasha,18266,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C,43109,ec,['6Za3190Sbw39BBC77WSS1C']
8,Que Va,Alex Sensation,14455,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O,43109,ec,['7ofxPmTNMj2GP07g1VZa0O']
9,Mayores,Becky G,14138,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,43109,ec,['7JNh1cfm0eXjqFVOzKLyau']
10,Se Preparó,Ozuna,14013,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,43109,ec,['1m69ELEgE6k5ZWsap40ozt']
11,SUTRA,Sebastian Yatra,13885,https://open.spotify.com/track/5TmZYdHW6HJ9gt7Aokuql5,43109,ec,['5TmZYdHW6HJ9gt7Aokuql5']
12,Robarte un Beso,Carlos Vives,13848,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,43109,ec,['0JcNysfWVWaMS7R6vzGB2k']
13,Suena El Dembow,Joey Montana,13650,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI,43109,ec,['5TysCiZtv1HnSWcTcUFusI']
14,Báilame - Remix,Nacho,12280,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr,43109,ec,['3VClLWqNn80Llv0PJOsKgr']
15,Déjate Llevar,Juan Magán,12157,https://open.spotify.com/track/3xWEI23MLJrD0dpDcDUTW6,43109,ec,['3xWEI23MLJrD0dpDcDUTW6']
16,Me Rehúso,Danny Ocean,12101,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,43109,ec,['6De0lHrwBfPfrhorm9q1Xl']
17,Perro Fiel,Shakira,12077,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL,43109,ec,['70lnL3QaSOIIyMa2X9aVRL']
18,Esperándote,Manuel Turizo,11695,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj,43109,ec,['1nfyE13arjOuO54HH0zmqj']
19,Besame,Valentino,11293,https://open.spotify.com/track/7Ckhk1XW5NV2k4jpqtQNlz,43109,ec,['7Ckhk1XW5NV2k4jpqtQNlz']
20,Bella y Sensual,Romeo Santos,10784,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3,43109,ec,['0ERbK7qVqveCaBWIiYCrl3']
21,Dembow,Danny Ocean,9839,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2,43109,ec,['2EzRdhuoPyNJDlep7lnNf2']
22,Vuelve,Daddy Yankee,9677,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv,43109,ec,['0lJCqIx5BhZtf6QtYI2fbv']
23,Olha a Explosão,MC Kevinho,9661,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn,43109,ec,['6m2LNopVJKsvBB9l7Z1rwn']
24,Besos En Guerra,Morat,9634,https://open.spotify.com/track/1d0c62VFYauOOgxZ2eFUxx,43109,ec,['1d0c62VFYauOOgxZ2eFUxx']
25,Escápate Conmigo,Wisin,9559,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc,43109,ec,['1KSqYYJFyfTecXFk9M0prc']
26,Una Lady Como Tú,Manuel Turizo,9279,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,43109,ec,['7MHN1aCFtLXjownGhvEQlF']
27,3 A.M.,Jesse & Joy,9237,https://open.spotify.com/track/0yyZN5ASdrYu0XYWFzfxUu,43109,ec,['0yyZN5ASdrYu0XYWFzfxUu']
28,Bum Bum Tam Tam,MC Fioti,9171,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr,43109,ec,['4zWO4gvuFtw6EJZC5FFGlr']
29,Loco Enamorado,Abraham Mateo,9143,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,43109,ec,['4N1c5rmWOzRmB9SMacr5wB']
30,Havana - Remix,Camila Cabello,9141,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ,43109,ec,['3whrwq4DtvucphBPUogRuJ']
31,Mi Mala,Mau y Ricky,8488,https://open.spotify.com/track/4XP6qLtHI0n9UjIPTsuqe8,43109,ec,['4XP6qLtHI0n9UjIPTsuqe8']
32,Bonita,J Balvin,8404,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v,43109,ec,['693iqPOQvhI7PobtR8CC8v']
33,#Natural,Paty Cantú,8394,https://open.spotify.com/track/6QY4K8DzL1HtAZbz7BGGOx,43109,ec,['6QY4K8DzL1HtAZbz7BGGOx']
34,Cásate Conmigo,Silvestre Dangond,8392,https://open.spotify.com/track/6f4UPdDBQONKJBRqwZGjaJ,43109,ec,['6f4UPdDBQONKJBRqwZGjaJ']
